City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,17.23,36,55,2.68,US,1713914729
1,avarua,-21.2078,-159.775,28.03,61,40,3.09,CK,1713914792
2,port-aux-francais,-49.35,70.2167,4.33,69,45,16.28,TF,1713914793
3,la passe,45.5549,-0.8967,11.1,80,66,3.79,FR,1713914794
4,adamstown,-25.066,-130.1015,23.0,85,100,8.87,PN,1713914794
5,achinsk,56.2694,90.4993,-5.72,84,19,3.08,RU,1713914797
6,lihue,21.9789,-159.3672,27.58,69,40,8.23,US,1713914797
7,mahilyow,53.9139,30.3364,1.53,84,53,3.01,BY,1713914797
8,uturoa,-16.7333,-151.4333,28.22,72,6,1.43,PF,1713914798
9,codrington,-38.2667,141.9667,13.09,57,34,7.06,AU,1713914800
10,margate,51.3813,1.3862,7.05,77,77,4.02,GB,1713914801
11,kerikeri,-35.2268,173.9474,19.27,53,2,1.27,NZ,1713914803
12,constitucion,-35.3333,-72.4167,12.78,61,1,5.16,CL,1713914804
13,suva,-18.1416,178.4415,30.71,70,40,1.03,FJ,1713914806
14,chonchi,-42.6128,-73.8092,9.56,83,99,1.84,CL,1713914808
15,olyokminsk,60.3736,120.4264,0.88,94,100,3.48,RU,1713914812
16,isafjordur,66.0755,-23.124,3.71,81,58,0.8,IS,1713914815
17,talnakh,69.4865,88.3972,-14.28,86,71,0.76,RU,1713914816
18,whitehorse,60.7161,-135.0538,9.5,42,75,2.06,CA,1713914816
19,tuy hoa,13.0833,109.3,25.73,86,75,1.59,VN,1713914818
20,rio grande,-32.035,-52.0986,24.06,92,59,3.82,BR,1713914648
21,laguna,38.421,-121.4238,21.75,56,75,4.12,US,1713914819
22,fale old settlement,-9.3852,-171.2468,29.76,73,12,4.37,TK,1713914821
23,edinburgh of the seven seas,-37.0676,-12.3116,15.94,70,100,4.02,SH,1713914801
24,waitangi,-43.9535,-176.5597,15.46,84,78,4.02,NZ,1713914821
25,izki,22.9333,57.7667,25.34,55,16,1.7,OM,1713914824
26,stanley,54.868,-1.6985,5.01,77,75,3.6,GB,1713914825
27,longyearbyen,78.2186,15.6401,-6.09,86,0,3.6,SJ,1713914788
28,palikir - national government center,6.9248,158.1611,26.47,89,100,4.12,FM,1713914826
29,barah,13.7,30.3667,26.64,10,12,3.41,SD,1713914826
30,olonkinbyen,70.9221,-8.7187,-1.37,76,0,1.21,SJ,1713914826
31,ca mau,9.1769,105.15,25.71,81,88,0.7,VN,1713914650
32,coahuayana de hidalgo,18.7,-103.6583,30.51,37,97,2.63,MX,1713914828
33,bethel,41.3712,-73.414,12.1,46,0,4.12,US,1713914831
34,happy valley-goose bay,53.3168,-60.3315,2.17,64,75,2.06,CA,1713914831
35,mount gambier,-37.8333,140.7667,12.26,59,80,4.38,AU,1713914831
36,vung tau,10.346,107.0843,28.0,80,100,3.6,VN,1713914834
37,son la,21.3167,103.9,21.87,92,74,1.58,VN,1713914836
38,naracoorte,-36.9579,140.7383,12.32,57,17,4.04,AU,1713914836
39,port douglas,-16.4833,145.4667,25.56,84,99,6.12,AU,1713914837
40,new norfolk,-42.7826,147.0587,10.72,79,100,2.82,AU,1713914837
41,puerto natales,-51.7236,-72.4875,4.46,90,89,2.43,CL,1713914837
42,atafu village,-8.5421,-172.5159,29.57,74,26,4.41,TK,1713914838
43,punta arenas,-53.15,-70.9167,8.06,71,75,10.29,CL,1713914620
44,talagutong,6.2644,125.6678,27.84,81,100,1.02,PH,1713914839
45,nuku'alofa,-21.1333,-175.2,29.19,79,20,4.63,TO,1713914842
46,enewetak,11.3474,162.3373,27.63,82,100,8.67,MH,1713914844
47,santa ana,33.7456,-117.8678,22.75,61,75,4.63,US,1713914535
48,formosa do rio preto,-11.0483,-45.1931,25.85,69,60,0.59,BR,1713914845
49,ushuaia,-54.8,-68.3,3.81,87,0,3.09,AR,1713914845
50,kasongo-lunda,-6.4667,16.8167,22.17,97,100,0.18,CD,1713914845
51,sitka,57.0531,-135.33,9.94,62,100,4.12,US,1713914847
52,blackmans bay,-43.0167,147.3167,10.07,71,89,1.79,AU,1713914848
53,constantia,44.1833,28.65,12.61,85,100,8.18,RO,1713914849
54,jamestown,42.097,-79.2353,10.29,89,100,3.6,US,1713914851
55,hermanus,-34.4187,19.2345,13.78,92,100,1.13,ZA,1713914851
56,sete lagoas,-19.4658,-44.2467,24.6,63,79,1.81,BR,1713914649
57,bilibino,68.0546,166.4372,-14.6,78,33,1.78,RU,1713914853
58,vila franca do campo,37.7167,-25.4333,18.27,99,23,3.43,PT,1713914854
59,sal rei,16.1833,-22.9167,22.22,74,0,4.29,CV,1713914858
60,grytviken,-54.2811,-36.5092,-2.27,75,50,14.52,GS,1713914668
61,victorica,-36.2151,-65.4359,11.86,35,0,3.02,AR,1713914861
62,howrah,22.5892,88.3103,29.0,61,20,2.57,IN,1713914861
63,port elizabeth,-33.918,25.5701,17.16,94,75,1.54,ZA,1713914862
